,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
26848,1985,male,75+ years,2177,53.57,"4,346,734,000,000",19693,G.I. Generation
26849,1985,male,55-74 years,5302,29.5,"4,346,734,000,000",19693,G.I. Generation
26850,1985,male,25-34 years,5134,24.46,"4,346,734,000,000",19693,Boomers
26851,1985,male,35-54 years,6053,22.77,"4,346,734,000,000",19693,Silent
26852,1985,male,15-24 years,4267,21.38,"4,346,734,000,000",19693,Generation X
26853,1985,female,35-54 years,2105,7.58,"4,346,734,000,000",19693,Silent
26854,1985,female,55-74 years,1568,7.34,"4,346,734,000,000",19693,G.I. Generation
26855,1985,female,75+ years,466,6.24,"4,346,734,000,000",19693,G.I. Generation
26856,1985,female,25-34 years,1242,5.9,"4,346,734,000,000",19693,Boomers
26857,1985,female,15-24 years,854,4.36,"4,346,734,000,000",19693,Generation X
26858,1985,male,5-14 years,205,1.18,"4,346,734,000,000",19693,Generation X
26859,1985,female,5-14 years,73,0.44,"4,346,734,000,000",19693,Generation X
26860,1986,male,75+ years,2340,56.01,"4,590,155,000,000",20588,G.I. Generation
26861,1986,male,55-74 years,5500,30.39,"4,590,155,000,000",20588,G.I. Generation
26862,1986,male,25-34 years,5450,25.48,"4,590,155,000,000",20588,Boomers
26863,1986,male,35-54 years,6450,23.57,"4,590,155,000,000",20588,Silent
26864,1986,male,15-24 years,4276,21.69,"4,590,155,000,000",20588,Generation X
26865,1986,female,35-54 years,2299,8.06,"4,590,155,000,000",20588,Silent
26866,1986,female,55-74 years,1696,7.9,"4,590,155,000,000",20588,G.I. Generation
26867,1986,female,75+ years,521,6.79,"4,590,155,000,000",20588,G.I. Generation
26868,1986,female,25-34 years,1261,5.9,"4,590,155,000,000",20588,Boomers
26869,1986,female,15-24 years,844,4.37,"4,590,155,000,000",20588,Generation X
26870,1986,male,5-14 years,199,1.15,"4,590,155,000,000",20588,Generation X
26871,1986,female,5-14 years,56,0.34,"4,590,155,000,000",20588,Generation X
26872,1987,male,75+ years,2532,58.95,"4,870,217,000,000",21631,G.I. Generation
26873,1987,male,55-74 years,5482,30.14,"4,870,217,000,000",21631,G.I. Generation
26874,1987,male,25-34 years,5370,24.78,"4,870,217,000,000",21631,Boomers
26875,1987,male,35-54 years,6569,23.28,"4,870,217,000,000",21631,Silent
26876,1987,male,15-24 years,4109,21.26,"4,870,217,000,000",21631,Generation X
26877,1987,female,35-54 years,2270,7.73,"4,870,217,000,000",21631,Silent
26878,1987,female,55-74 years,1596,7.42,"4,870,217,000,000",21631,G.I. Generation
26879,1987,female,75+ years,504,6.4,"4,870,217,000,000",21631,G.I. Generation
26880,1987,female,25-34 years,1285,5.94,"4,870,217,000,000",21631,Boomers
26881,1987,female,15-24 years,815,4.31,"4,870,217,000,000",21631,Generation X
26882,1987,male,5-14 years,199,1.14,"4,870,217,000,000",21631,Generation X
26883,1987,female,5-14 years,52,0.31,"4,870,217,000,000",21631,Generation X
26884,1988,male,75+ years,2548,57.79,"5,252,629,000,000",23103,G.I. Generation
26885,1988,male,55-74 years,5198,28.51,"5,252,629,000,000",23103,G.I. Generation
26886,1988,male,25-34 years,5463,25.0,"5,252,629,000,000",23103,Boomers
26887,1988,male,35-54 years,6528,22.4,"5,252,629,000,000",23103,Silent
26888,1988,male,15-24 years,4143,21.92,"5,252,629,000,000",23103,Generation X
26889,1988,female,35-54 years,2209,7.3,"5,252,629,000,000",23103,Silent
26890,1988,female,55-74 years,1504,7.0,"5,252,629,000,000",23103,G.I. Generation
26891,1988,female,75+ years,519,6.44,"5,252,629,000,000",23103,G.I. Generation
26892,1988,female,25-34 years,1247,5.71,"5,252,629,000,000",23103,Boomers
26893,1988,female,15-24 years,786,4.25,"5,252,629,000,000",23103,Generation X
26894,1988,male,5-14 years,181,1.02,"5,252,629,000,000",23103,Generation X
26895,1988,female,5-14 years,62,0.37,"5,252,629,000,000",23103,Generation X
26896,1989,male,75+ years,2462,54.22,"5,657,693,000,000",24654,G.I. Generation
26897,1989,male,55-74 years,5185,28.34,"5,657,693,000,000",24654,G.I. Generation
26898,1989,male,25-34 years,5339,24.33,"5,657,693,000,000",24654,Boomers
26899,1989,male,35-54 years,6814,22.61,"5,657,693,000,000",24654,Silent
26900,1989,male,15-24 years,4106,22.24,"5,657,693,000,000",24654,Generation X
26901,1989,female,35-54 years,2159,6.91,"5,657,693,000,000",24654,Silent
26902,1989,female,55-74 years,1432,6.67,"5,657,693,000,000",24654,G.I. Generation
26903,1989,female,75+ years,491,5.94,"5,657,693,000,000",24654,G.I. Generation
26904,1989,female,25-34 years,1226,5.6,"5,657,693,000,000",24654,Boomers
26905,1989,female,15-24 years,764,4.23,"5,657,693,000,000",24654,Generation X
26906,1989,male,5-14 years,184,1.02,"5,657,693,000,000",24654,Generation X
